title,price,image_url,details_url,fuel,year,horsepower,mileage,date,city
MERCEDES GLA,230.000,https://www.wandaloo.com/files/Voiture-Occasion/2023/11/65609fc990e76.jpeg,https://www.wandaloo.com/occasion/mercedes-gla-diesel-occasion-casablanca-maroc/38735.html,Diesel,2014,9 cv,280.000 km,24 novembre 2023,Casablanca
HYUNDAI ix35,125.000,https://www.wandaloo.com/files/Voiture-Occasion/2023/11/655fc1e7ddc1b.jpeg,https://www.wandaloo.com/occasion/hyundai-ix35-diesel-occasion-beni-mellal-maroc/38731.html,Diesel,2011,8 cv,251.000 km,23 novembre 2023,Beni Mellal
VOLVO XC40,360.000,https://www.wandaloo.com/files/Voiture-Occasion/2023/11/655fa6b4b8d13.jpeg,https://www.wandaloo.com/occasion/volvo-xc40-diesel-occasion-casablanca-maroc/38730.html,Diesel,2020,8 cv,47.000 km,23 novembre 2023,Casablanca
FIAT Tipo,120.000,https://www.wandaloo.com/files/Voiture-Occasion/2023/11/655a0e5a65fee.jpeg,https://www.wandaloo.com/occasion/fiat-tipo-diesel-occasion-agadir-maroc/38705.html,Diesel,2020,5 cv,14.800 km,23 novembre 2023,Agadir
FORD Focus,190.000,https://www.wandaloo.com/files/Voiture-Occasion/2023/11/655f7f5817ac2.jpeg,https://www.wandaloo.com/occasion/ford-focus-diesel-occasion-settat-maroc/38728.html,Diesel,2021,6 cv,38.400 km,23 novembre 2023,Settat
MITSUBISHI L 200,157.000,https://www.wandaloo.com/files/Voiture-Occasion/2023/11/655f635030163.jpg,https://www.wandaloo.com/occasion/mitsubishi-l-200-diesel-occasion-rabat-maroc/38727.html,Diesel,2018,10 cv,180.000 km,23 novembre 2023,Rabat
RENAULT Scénic,100.000,https://www.wandaloo.com/files/Voiture-Occasion/2023/11/655e26259c87f.jpeg,https://www.wandaloo.com/occasion/renault-scenic-diesel-occasion-casablanca-maroc/38724.html,Diesel,2012,6 cv,162.000 km,23 novembre 2023,Casablanca
SEAT Ibiza,100.000,https://www.wandaloo.com/files/Voiture-Occasion/2023/11/655e738e4e7f9.jpeg,https://www.wandaloo.com/occasion/seat-ibiza-diesel-occasion-temara-maroc/38725.html,Diesel,2016,6 cv,153.890 km,22 novembre 2023,Temara
VOLKSWAGEN Tiguan,375.000,https://www.wandaloo.com/files/Voiture-Occasion/2023/11/655cf363e0852.jpg,https://www.wandaloo.com/occasion/volkswagen-tiguan-diesel-occasion-casablanca-maroc/38685.html,Diesel,2017,8 cv,154.000 km,21 novembre 2023,Casablanca
HYUNDAI Tucson,280.000,https://www.wandaloo.com/files/Voiture-Occasion/2023/11/655cda0f2e565.jpg,https://www.wandaloo.com/occasion/hyundai-tucson-diesel-occasion-fes-maroc/38717.html,Diesel,2021,6 cv,124.000 km,21 novembre 2023,Fès
KIA Ceed,155.000,https://www.wandaloo.com/files/Voiture-Occasion/2023/11/655ca8f0d797b.jpg,https://www.wandaloo.com/occasion/kia-ceed-diesel-occasion-casablanca-maroc/38721.html,Diesel,2016,6 cv,159.000 km,21 novembre 2023,Casablanca
RENAULT Express,172.000,https://www.wandaloo.com/files/Voiture-Occasion/2023/11/655bc1773c2bc.jpg,https://www.wandaloo.com/occasion/renault-express-diesel-occasion-agadir-maroc/38719.html,Diesel,2022,6 cv,23.000 km,20 novembre 2023,Agadir
DACIA Sandero,158.000,https://www.wandaloo.com/files/Voiture-Occasion/2023/11/655ba2c908e77.jpg,https://www.wandaloo.com/occasion/dacia-sandero-diesel-occasion-casablanca-maroc/38718.html,Diesel,2022,6 cv,28.000 km,20 novembre 2023,Casablanca
